Time,"U:0","U:1","U:2","c","gammadot","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0008,0,0,0,0.0232171994,3286.02002,1.06498255e-09,1,0,0.00850000046,0,4.99999987e-06
0.0008,0.00270301616,-3.17037302e-05,0,0.171302125,1372.28625,-0.000329840201,1,1.35135133e-06,0.00850000046,1.35135133e-06,4.99999987e-06
0.0008,0.00361445802,1.01464921e-05,0,0.267148137,716.59259,-0.000583437271,1,2.70270266e-06,0.00850000046,2.70270266e-06,4.99999987e-06
0.0008,0.00458929641,8.29676173e-06,0,0.230434,787.076355,-0.000402324746,1,4.05405399e-06,0.00850000046,4.05405399e-06,4.99999987e-06
0.0008,0.0057438761,-4.16558441e-06,0,0.226910815,843.508789,-0.00024582434,1,5.40540532e-06,0.00850000046,5.40540532e-06,4.99999987e-06
0.0008,0.00687329145,-7.3086386e-07,0,0.219553903,821.49292,-0.000190189661,1,6.75675665e-06,0.00850000046,6.75675665e-06,4.99999987e-06
0.0008,0.00796278287,-2.26856429e-07,0,0.216643631,783.359863,-0.000153709727,1,8.10810798e-06,0.00850000046,8.10810798e-06,4.99999987e-06
0.0008,0.00898957904,7.97921587e-08,0,0.213831753,733.540955,-0.000121581041,1,9.45945885e-06,0.00850000046,9.45945885e-06,4.99999987e-06
0.0008,0.00994398165,-6.94484541e-08,0,0.21275416,676.724792,-9.14071279e-05,1,1.08108106e-05,0.00850000046,1.08108106e-05,4.99999987e-06
0.0008,0.0108172698,-2.92023632e-08,0,0.212058648,615.650513,-6.32276715e-05,1,1.21621615e-05,0.00850000046,1.21621615e-05,4.99999987e-06
0.0008,0.011606534,-6.94990332e-09,0,0.211564615,552.876648,-3.57802346e-05,1,1.35135133e-05,0.00850000046,1.35135133e-05,4.99999987e-06
0.0008,0.0123103065,-4.54569449e-09,0,0.211195722,489.171722,-8.605929e-06,1,1.48648642e-05,0.00850000046,1.48648642e-05,4.99999987e-06
0.0008,0.0129275452,-3.27311289e-09,0,0.210913658,424.837128,1.84117998e-05,1,1.6216216e-05,0.00850000046,1.6216216e-05,4.99999987e-06
0.0008,0.0134575721,-6.06952444e-09,0,0.210685164,360.07254,4.53520224e-05,1,1.75675668e-05,0.00850000046,1.75675668e-05,4.99999987e-06
0.0008,0.0138999149,-1.32234268e-08,0,0.210505992,294.968384,7.23086778e-05,1,1.89189177e-05,0.00850000046,1.89189177e-05,4.99999987e-06
0.0008,0.0142541286,-5.36846878e-09,0,0.210424587,229.520767,9.94803268e-05,1,2.02702704e-05,0.00850000046,2.02702704e-05,4.99999987e-06
0.0008,0.0145197259,1.35814858e-07,0,0.21068655,163.742859,0.000127051651,1,2.16216213e-05,0.00850000046,2.16216213e-05,4.99999987e-06
