Time,"U:0","U:1","U:2","c","gammadot","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7e-06,0,0,0,0.202243,1730.94995,-2.0278752e-09,1,0,0.00850000046,0,4.99999987e-06
7e-06,0.0021057711,-2.04753883e-06,0,0.209128737,1543.58948,1.61288808e-05,1,1.35135133e-06,0.00850000046,1.35135133e-06,4.99999987e-06
7e-06,0.00398093974,-7.16766237e-08,0,0.213342637,1370.00195,6.14304445e-05,1,2.70270266e-06,0.00850000046,2.70270266e-06,4.99999987e-06
7e-06,0.00566394441,1.05830338e-06,0,0.210767031,1206.45654,0.000130922985,1,4.05405399e-06,0.00850000046,4.05405399e-06,4.99999987e-06
7e-06,0.00715885358,-2.81968084e-08,0,0.210243002,1034.92224,0.000210870901,1,5.40540532e-06,0.00850000046,5.40540532e-06,4.99999987e-06
7e-06,0.00844276696,-2.91264087e-07,0,0.210112631,857.807251,0.000288559269,1,6.75675665e-06,0.00850000046,6.75675665e-06,4.99999987e-06
7e-06,0.00951583032,-3.17384007e-07,0,0.21006231,689.77594,0.000363249361,1,8.10810798e-06,0.00850000046,8.10810798e-06,4.99999987e-06
7e-06,0.0103901112,-1.10187656e-07,0,0.210040495,539.204956,0.000430568442,1,9.45945885e-06,0.00850000046,9.45945885e-06,4.99999987e-06
7e-06,0.011085229,-8.18773103e-08,0,0.210027203,410.366974,0.000487246958,1,1.08108106e-05,0.00850000046,1.08108106e-05,4.99999987e-06
7e-06,0.011625072,-3.62698614e-07,0,0.210017696,304.505981,0.00053561962,1,1.21621615e-05,0.00850000046,1.21621615e-05,4.99999987e-06
7e-06,0.0120349135,-6.38804408e-07,0,0.210011482,220.610382,0.000575541751,1,1.35135133e-05,0.00850000046,1.35135133e-05,4.99999987e-06
7e-06,0.0123393619,-7.2709588e-07,0,0.210007548,156.242142,0.000606508518,1,1.48648642e-05,0.00850000046,1.48648642e-05,4.99999987e-06
7e-06,0.0125608109,-6.51165806e-07,0,0.210004807,108.268143,0.000629310438,1,1.6216216e-05,0.00850000046,1.6216216e-05,4.99999987e-06
7e-06,0.0127185136,-4.94961455e-07,0,0.210003033,73.4129028,0.000645550259,1,1.75675668e-05,0.00850000046,1.75675668e-05,4.99999987e-06
7e-06,0.0128282867,-3.22106786e-07,0,0.210001886,48.6148415,0.000656922231,1,1.89189177e-05,0.00850000046,1.89189177e-05,4.99999987e-06
7e-06,0.0129025867,-1.64418353e-07,0,0.2100012,31.2103043,0.000664860359,1,2.02702704e-05,0.00850000046,2.02702704e-05,4.99999987e-06
7e-06,0.0129507687,-3.23254028e-08,0,0.210001007,18.9847431,0.000670431647,1,2.16216213e-05,0.00850000046,2.16216213e-05,4.99999987e-06
7e-06,0.0129794441,4.73786876e-08,0,0.210001007,10.1350336,0.00067422702,1,2.29729721e-05,0.00850000046,2.29729721e-05,4.99999987e-06
7e-06,0.0129927918,3.38743149e-08,0,0.210001007,4.77073431,0.000676254625,1,2.4324323e-05,0.00850000046,2.4324323e-05,4.99999987e-06
7e-06,0.0129927918,-3.38742723e-08,0,0.210001007,4.7707324,0.000676254625,1,2.56756757e-05,0.00850000046,2.56756757e-05,4.99999987e-06
7e-06,0.0129794441,-4.73787516e-08,0,0.210001007,10.1350231,0.00067422702,1,2.70270266e-05,0.00850000046,2.70270266e-05,4.99999987e-06
7e-06,0.0129507687,3.23252394e-08,0,0.210001007,18.9847298,0.000670431647,1,2.83783775e-05,0.00850000046,2.83783775e-05,4.99999987e-06
7e-06,0.0129025867,1.64418239e-07,0,0.2100012,31.2102909,0.000664860359,1,2.97297283e-05,0.00850000046,2.97297283e-05,4.99999987e-06
7e-06,0.0128282867,3.22106473e-07,0,0.210001886,48.6148033,0.000656922231,1,3.10810792e-05,0.00850000046,3.10810792e-05,4.99999987e-06
7e-06,0.0127185136,4.94961228e-07,0,0.210003033,73.4128571,0.000645550259,1,3.24324319e-05,0.00850000046,3.24324319e-05,4.99999987e-06
7e-06,0.0125608109,6.51165806e-07,0,0.210004807,108.268143,0.000629310438,1,3.37837846e-05,0.00850000046,3.37837846e-05,4.99999987e-06
7e-06,0.0123393629,7.27095937e-07,0,0.210007548,156.24202,0.000606508576,1,3.51351337e-05,0.00850000046,3.51351337e-05,4.99999987e-06
7e-06,0.0120349135,6.3880475e-07,0,0.210011482,220.610275,0.00057554181,1,3.64864864e-05,0.00850000046,3.64864864e-05,4.99999987e-06
7e-06,0.0116250739,3.62699609e-07,0,0.210017696,304.505676,0.000535619736,1,3.78378354e-05,0.00850000046,3.78378354e-05,4.99999987e-06
7e-06,0.011085229,8.18773103e-08,0,0.210027203,410.366974,0.000487246958,1,3.91891881e-05,0.00850000046,3.91891881e-05,4.99999987e-06
7e-06,0.0103901112,1.10187791e-07,0,0.210040495,539.205017,0.000430568383,1,4.05405408e-05,0.00850000046,4.05405408e-05,4.99999987e-06
7e-06,0.00951583125,3.17384007e-07,0,0.21006231,689.775696,0.000363249448,1,4.18918899e-05,0.00850000046,4.18918899e-05,4.99999987e-06
7e-06,0.0084427679,2.912642e-07,0,0.210112631,857.807129,0.000288559328,1,4.32432425e-05,0.00850000046,4.32432425e-05,4.99999987e-06
7e-06,0.00715885358,2.81968564e-08,0,0.210243002,1034.92224,0.000210870916,1,4.45945952e-05,0.00850000046,4.45945952e-05,4.99999987e-06
7e-06,0.00566394767,-1.05830554e-06,0,0.210767031,1206.45618,0.00013092313,1,4.59459443e-05,0.00850000046,4.59459443e-05,4.99999987e-06
7e-06,0.00398094207,7.16740729e-08,0,0.213342637,1370.00171,6.14305027e-05,1,4.7297297e-05,0.00850000046,4.7297297e-05,4.99999987e-06
7e-06,0.00210577273,2.04754019e-06,0,0.209128737,1543.58936,1.61288917e-05,1,4.8648646e-05,0.00850000046,4.8648646e-05,4.99999987e-06
7e-06,0,0,0,0.202243,1730.94995,-2.02805506e-09,1,4.99999987e-05,0.00850000046,4.99999987e-05,4.99999987e-06
