Time,"U:0","U:1","U:2","c","gammadot","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.005,0,0,0,-0.000353671989,2973.23999,-2.53768506e-10,1,0,0.00850000046,0,4.99999987e-06
0.005,0.00346745155,-8.0955233e-06,0,0.0506990328,2026.16748,-0.000121981262,1,1.35135133e-06,0.00850000046,1.35135133e-06,4.99999987e-06
0.005,0.0054476303,-1.41108985e-05,0,0.190951586,1072.95691,-0.000435844559,1,2.70270266e-06,0.00850000046,2.70270266e-06,4.99999987e-06
0.005,0.00632847659,4.25986718e-06,0,0.265710592,608.137512,-0.000637356425,1,4.05405399e-06,0.00850000046,4.05405399e-06,4.99999987e-06
0.005,0.00706242118,4.86795943e-06,0,0.253331691,549.876587,-0.000586658192,1,5.40540532e-06,0.00850000046,5.40540532e-06,4.99999987e-06
0.005,0.00781210978,-9.05260208e-07,0,0.248998448,548.713989,-0.000489322876,1,6.75675665e-06,0.00850000046,6.75675665e-06,4.99999987e-06
0.005,0.00854601525,-9.91960079e-08,0,0.240252689,538.515137,-0.000425289269,1,8.10810798e-06,0.00850000046,8.10810798e-06,4.99999987e-06
0.005,0.00926701445,-9.7729405e-08,0,0.232711166,523.955627,-0.000374164403,1,9.45945885e-06,0.00850000046,9.45945885e-06,4.99999987e-06
0.005,0.0099619478,-4.64870205e-08,0,0.227008149,500.181244,-0.000331993971,1,1.08108106e-05,0.00850000046,1.08108106e-05,4.99999987e-06
0.005,0.0106184157,-4.82389275e-08,0,0.222278059,467.811096,-0.000296219019,1,1.21621615e-05,0.00850000046,1.21621615e-05,4.99999987e-06
0.005,0.0112257004,-8.18873858e-08,0,0.219508961,428.473907,-0.00026532117,1,1.35135133e-05,0.00850000046,1.35135133e-05,4.99999987e-06
0.005,0.011775746,-1.92880503e-08,0,0.217091873,384.44458,-0.000237524044,1,1.48648642e-05,0.00850000046,1.48648642e-05,4.99999987e-06
0.005,0.0122640552,-2.19205489e-08,0,0.215466887,337.378876,-0.000211506354,1,1.6216216e-05,0.00850000046,1.6216216e-05,4.99999987e-06
0.005,0.012687006,-6.90774238e-09,0,0.214176729,288.085999,-0.000186721823,1,1.75675668e-05,0.00850000046,1.75675668e-05,4.99999987e-06
0.005,0.0130421361,4.35595915e-09,0,0.213320881,237.116821,-0.000162842174,1,1.89189177e-05,0.00850000046,1.89189177e-05,4.99999987e-06
0.005,0.0133273825,1.42515093e-08,0,0.213124871,184.636734,-0.000139822281,1,2.02702704e-05,0.00850000046,2.02702704e-05,4.99999987e-06
0.005,0.013540756,9.07031676e-08,0,0.214586928,130.926575,-0.000117871306,1,2.16216213e-05,0.00850000046,2.16216213e-05,4.99999987e-06
0.005,0.0136809666,2.0493934e-07,0,0.219076008,77.3060989,-9.84393628e-05,1,2.29729721e-05,0.00850000046,2.29729721e-05,4.99999987e-06
0.005,0.0137494793,1.25674305e-07,0,0.224038944,38.4859085,-8.60806904e-05,1,2.4324323e-05,0.00850000046,2.4324323e-05,4.99999987e-06
0.005,0.0137494793,-1.25674134e-07,0,0.224038944,38.4858894,-8.60806904e-05,1,2.56756757e-05,0.00850000046,2.56756757e-05,4.99999987e-06
0.005,0.0136809666,-2.04939496e-07,0,0.219076023,77.3060303,-9.84393337e-05,1,2.70270266e-05,0.00850000046,2.70270266e-05,4.99999987e-06
0.005,0.013540756,-9.0703324e-08,0,0.214586943,130.926498,-0.000117871277,1,2.83783775e-05,0.00850000046,2.83783775e-05,4.99999987e-06
0.005,0.0133273825,-1.42515262e-08,0,0.213124871,184.636688,-0.000139822252,1,2.97297283e-05,0.00850000046,2.97297283e-05,4.99999987e-06
0.005,0.013042137,-4.35594361e-09,0,0.213320866,237.116714,-0.000162842131,1,3.10810792e-05,0.00850000046,3.10810792e-05,4.99999987e-06
0.005,0.012687007,6.90768021e-09,0,0.214176729,288.085907,-0.000186721794,1,3.24324319e-05,0.00850000046,3.24324319e-05,4.99999987e-06
0.005,0.0122640552,2.19205489e-08,0,0.215466887,337.378876,-0.000211506354,1,3.37837846e-05,0.00850000046,3.37837846e-05,4.99999987e-06
0.005,0.0117757469,1.92878336e-08,0,0.217091873,384.444489,-0.000237523986,1,3.51351337e-05,0.00850000046,3.51351337e-05,4.99999987e-06
0.005,0.0112257004,8.18874213e-08,0,0.219508961,428.473846,-0.000265321141,1,3.64864864e-05,0.00850000046,3.64864864e-05,4.99999987e-06
0.005,0.0106184175,4.82390625e-08,0,0.222278044,467.811005,-0.000296218932,1,3.78378354e-05,0.00850000046,3.78378354e-05,4.99999987e-06
0.005,0.0099619478,4.64870205e-08,0,0.227008149,500.181244,-0.000331993971,1,3.91891881e-05,0.00850000046,3.91891881e-05,4.99999987e-06
0.005,0.00926701445,9.77291919e-08,0,0.232711166,523.955627,-0.000374164432,1,4.05405408e-05,0.00850000046,4.05405408e-05,4.99999987e-06
0.005,0.00854601711,9.91932581e-08,0,0.240252674,538.515137,-0.00042528921,1,4.18918899e-05,0.00850000046,4.18918899e-05,4.99999987e-06
0.005,0.00781211024,9.05264812e-07,0,0.248998448,548.713989,-0.000489322818,1,4.32432425e-05,0.00850000046,4.32432425e-05,4.99999987e-06
0.005,0.00706242118,-4.86795943e-06,0,0.253331691,549.876587,-0.000586658192,1,4.45945952e-05,0.00850000046,4.45945952e-05,4.99999987e-06
0.005,0.00632847799,-4.25990766e-06,0,0.265710741,608.136658,-0.000637356832,1,4.59459443e-05,0.00850000046,4.59459443e-05,4.99999987e-06
0.005,0.00544763263,1.41109058e-05,0,0.190951765,1072.95569,-0.000435844937,1,4.7297297e-05,0.00850000046,4.7297297e-05,4.99999987e-06
0.005,0.00346745411,8.09552876e-06,0,0.0506990664,2026.16687,-0.000121981342,1,4.8648646e-05,0.00850000046,4.8648646e-05,4.99999987e-06
0.005,0,0,0,-0.000353671989,2973.23999,-2.53862986e-10,1,4.99999987e-05,0.00850000046,4.99999987e-05,4.99999987e-06
