Time,"U:0","U:1","U:2","c","gammadot","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.2,0,0,0,2.09097998e-05,1784.01001,2.01637998e-10,1,0,0.00850000046,0,4.99999987e-06
0.2,0.0023440863,1.75703846e-07,0,-3.0077681e-05,1687.31104,8.93445986e-07,1,1.35135133e-06,0.00850000046,1.35135133e-06,4.99999987e-06
0.2,0.00455678115,1.40820941e-06,0,0.000286100345,1573.67041,2.44631019e-06,1,2.70270266e-06,0.00850000046,2.70270266e-06,4.99999987e-06
0.2,0.00659396639,1.39397059e-06,0,0.0107413745,1368.08545,-3.96060841e-06,1,4.05405399e-06,0.00850000046,4.05405399e-06,4.99999987e-06
0.2,0.00825056992,-1.43436864e-06,0,0.0642213002,1034.85779,-3.56798919e-05,1,5.40540532e-06,0.00850000046,5.40540532e-06,4.99999987e-06
0.2,0.00938251894,-2.03397371e-06,0,0.142589405,698.174194,-9.58719756e-05,1,6.75675665e-06,0.00850000046,6.75675665e-06,4.99999987e-06
0.2,0.0101256976,-1.55382438e-07,0,0.193415508,476.595764,-0.000157813047,1,8.10810798e-06,0.00850000046,8.10810798e-06,4.99999987e-06
0.2,0.0106626172,4.26058364e-07,0,0.221022651,353.837646,-0.000199267117,1,9.45945885e-06,0.00850000046,9.45945885e-06,4.99999987e-06
0.2,0.0110784434,1.91312878e-07,0,0.240899637,276.872223,-0.00022316887,1,1.08108106e-05,0.00850000046,1.08108106e-05,4.99999987e-06
0.2,0.0114089185,6.6569072e-08,0,0.256220669,220.944885,-0.000237373242,1,1.21621615e-05,0.00850000046,1.21621615e-05,4.99999987e-06
0.2,0.0116742849,4.82675091e-08,0,0.268885404,177.520493,-0.000245105213,1,1.35135133e-05,0.00850000046,1.35135133e-05,4.99999987e-06
0.2,0.0118878447,4.38169749e-08,0,0.279392511,142.40947,-0.000247846066,1,1.48648642e-05,0.00850000046,1.48648642e-05,4.99999987e-06
0.2,0.0120585458,2.66567763e-08,0,0.288958073,113.008675,-0.000247085933,1,1.6216216e-05,0.00850000046,1.6216216e-05,4.99999987e-06
0.2,0.0121927671,2.01301908e-08,0,0.297838718,87.8077316,-0.000244133626,1,1.75675668e-05,0.00850000046,1.75675668e-05,4.99999987e-06
0.2,0.0122955069,1.32541107e-08,0,0.306549221,65.9798355,-0.000239998422,1,1.89189177e-05,0.00850000046,1.89189177e-05,4.99999987e-06
0.2,0.0123708695,1.03406572e-08,0,0.315202147,47.0691109,-0.000235510059,1,2.02702704e-05,0.00850000046,2.02702704e-05,4.99999987e-06
0.2,0.0124225542,6.3988197e-09,0,0.323939592,30.8256569,-0.000231385129,1,2.16216213e-05,0.00850000046,2.16216213e-05,4.99999987e-06
0.2,0.0124540562,2.99942449e-09,0,0.332763523,17.0843849,-0.000228239136,1,2.29729721e-05,0.00850000046,2.29729721e-05,4.99999987e-06
0.2,0.0124686481,1.64369074e-09,0,0.339257747,8.11139774,-0.000226527307,1,2.4324323e-05,0.00850000046,2.4324323e-05,4.99999987e-06
0.2,0.0124686481,-1.64368863e-09,0,0.339257747,8.11139393,-0.000226527307,1,2.56756757e-05,0.00850000046,2.56756757e-05,4.99999987e-06
0.2,0.0124540562,-2.9994256e-09,0,0.332763553,17.0843678,-0.000228239136,1,2.70270266e-05,0.00850000046,2.70270266e-05,4.99999987e-06
0.2,0.0124225542,-6.39880771e-09,0,0.323939621,30.8256378,-0.000231385129,1,2.83783775e-05,0.00850000046,2.83783775e-05,4.99999987e-06
0.2,0.0123708695,-1.0340659e-08,0,0.315202147,47.0690956,-0.000235510044,1,2.97297283e-05,0.00850000046,2.97297283e-05,4.99999987e-06
0.2,0.0122955069,-1.32540894e-08,0,0.306549251,65.9797974,-0.000239998408,1,3.10810792e-05,0.00850000046,3.10810792e-05,4.99999987e-06
0.2,0.012192768,-2.01301926e-08,0,0.297838718,87.8077011,-0.000244133626,1,3.24324319e-05,0.00850000046,3.24324319e-05,4.99999987e-06
