Time,"U:0","U:1","U:2","c","gammadot","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.02,0,0,0,0.000437379,2446.62012,5.75301508e-11,1,0,0.00850000046,0,4.99999987e-06
0.02,0.00319152651,5.11211647e-06,0,0.00396284508,2134.86963,-1.84740511e-05,1,1.35135133e-06,0.00850000046,1.35135133e-06,4.99999987e-06
0.02,0.00576414401,-3.7650384e-06,0,0.0671561286,1526.68835,-0.000102829275,1,2.70270266e-06,0.00850000046,2.70270266e-06,4.99999987e-06
0.02,0.00730258878,-7.06488618e-06,0,0.183604732,889.378906,-0.000271981058,1,4.05405399e-06,0.00850000046,4.05405399e-06,4.99999987e-06
0.02,0.00814189669,9.04332524e-07,0,0.244901925,547.135803,-0.000412832451,1,5.40540532e-06,0.00850000046,5.40540532e-06,4.99999987e-06
0.02,0.00876449514,1.99411807e-06,0,0.255467057,433.835144,-0.000443098397,1,6.75675665e-06,0.00850000046,6.75675665e-06,4.99999987e-06
0.02,0.00931036193,2.83643374e-07,0,0.259904474,387.3573,-0.000417788338,1,8.10810798e-06,0.00850000046,8.10810798e-06,4.99999987e-06
0.02,0.00981006399,1.31571881e-07,0,0.257555366,359.092041,-0.000380554819,1,9.45945885e-06,0.00850000046,9.45945885e-06,4.99999987e-06
0.02,0.0102800159,5.12558387e-08,0,0.253489166,338.740906,-0.00033959857,1,1.08108106e-05,0.00850000046,1.08108106e-05,4.99999987e-06
0.02,0.0107250772,1.00695765e-07,0,0.247259125,320.247833,-0.000298518426,1,1.21621615e-05,0.00850000046,1.21621615e-05,4.99999987e-06
0.02,0.0111451587,-4.02176914e-09,0,0.241367772,299.783417,-0.000259992201,1,1.35135133e-05,0.00850000046,1.35135133e-05,4.99999987e-06
0.02,0.0115350178,-1.21541079e-08,0,0.236129716,275.404724,-0.00022554172,1,1.48648642e-05,0.00850000046,1.48648642e-05,4.99999987e-06
0.02,0.0118891541,-6.28842478e-10,0,0.231458008,246.928177,-0.000194860826,1,1.6216216e-05,0.00850000046,1.6216216e-05,4.99999987e-06
0.02,0.0122020459,-1.09620988e-08,0,0.228071421,214.359711,-0.000167632839,1,1.75675668e-05,0.00850000046,1.75675668e-05,4.99999987e-06
0.02,0.0124681825,4.5741344e-09,0,0.226071298,177.98912,-0.000143627287,1,1.89189177e-05,0.00850000046,1.89189177e-05,4.99999987e-06
0.02,0.0126828253,1.18751098e-08,0,0.22628516,138.43277,-0.000122731479,1,2.02702704e-05,0.00850000046,2.02702704e-05,4.99999987e-06
0.02,0.0128421215,3.13603969e-08,0,0.23018387,96.8895721,-0.00010515951,1,2.16216213e-05,0.00850000046,2.16216213e-05,4.99999987e-06
0.02,0.0129445046,6.4699762e-08,0,0.239576072,55.938427,-9.16387798e-05,1,2.29729721e-05,0.00850000046,2.29729721e-05,4.99999987e-06
0.02,0.0129931048,3.81196514e-08,0,0.249506801,27.0625286,-8.39220302e-05,1,2.4324323e-05,0.00850000046,2.4324323e-05,4.99999987e-06
0.02,0.0129931048,-3.81196017e-08,0,0.249506801,27.0625172,-8.39220302e-05,1,2.56756757e-05,0.00850000046,2.56756757e-05,4.99999987e-06
0.02,0.0129445046,-6.46998046e-08,0,0.239576086,55.9383736,-9.16387653e-05,1,2.70270266e-05,0.00850000046,2.70270266e-05,4.99999987e-06
0.02,0.0128421215,-3.13604502e-08,0,0.23018387,96.8895111,-0.000105159488,1,2.83783775e-05,0.00850000046,2.83783775e-05,4.99999987e-06
0.02,0.0126828253,-1.18751053e-08,0,0.22628516,138.432739,-0.000122731464,1,2.97297283e-05,0.00850000046,2.97297283e-05,4.99999987e-06
0.02,0.0124681825,-4.57419258e-09,0,0.226071298,177.989044,-0.000143627243,1,3.10810792e-05,0.00850000046,3.10810792e-05,4.99999987e-06
0.02,0.0122020468,1.09621148e-08,0,0.228071421,214.359665,-0.000167632796,1,3.24324319e-05,0.00850000046,3.24324319e-05,4.99999987e-06
0.02,0.0118891541,6.28842478e-10,0,0.231458008,246.928177,-0.000194860826,1,3.37837846e-05,0.00850000046,3.37837846e-05,4.99999987e-06
0.02,0.0115350187,1.21539836e-08,0,0.236129701,275.404663,-0.000225541648,1,3.51351337e-05,0.00850000046,3.51351337e-05,4.99999987e-06
0.02,0.0111451587,4.02200495e-09,0,0.241367757,299.783386,-0.000259992143,1,3.64864864e-05,0.00850000046,3.64864864e-05,4.99999987e-06
0.02,0.0107250782,-1.0069607e-07,0,0.247259095,320.247772,-0.000298518309,1,3.78378354e-05,0.00850000046,3.78378354e-05,4.99999987e-06
0.02,0.0102800159,-5.12558387e-08,0,0.253489166,338.740906,-0.00033959857,1,3.91891881e-05,0.00850000046,3.91891881e-05,4.99999987e-06
0.02,0.00981006399,-1.31571753e-07,0,0.257555366,359.092041,-0.000380554819,1,4.05405408e-05,0.00850000046,4.05405408e-05,4.99999987e-06
0.02,0.00931036286,-2.83640588e-07,0,0.259904474,387.357239,-0.000417788309,1,4.18918899e-05,0.00850000046,4.18918899e-05,4.99999987e-06
0.02,0.00876449607,-1.99411807e-06,0,0.255467057,433.835083,-0.000443098397,1,4.32432425e-05,0.00850000046,4.32432425e-05,4.99999987e-06
0.02,0.00814189669,-9.04332865e-07,0,0.244901925,547.135803,-0.000412832451,1,4.45945952e-05,0.00850000046,4.45945952e-05,4.99999987e-06
0.02,0.00730259158,7.06489254e-06,0,0.183604985,889.377563,-0.000271981407,1,4.59459443e-05,0.00850000046,4.59459443e-05,4.99999987e-06
0.02,0.00576414727,3.76504977e-06,0,0.0671562105,1526.68762,-0.000102829377,1,4.7297297e-05,0.00850000046,4.7297297e-05,4.99999987e-06
0.02,0.00319152861,-5.11212011e-06,0,0.0039628474,2134.86938,-1.84740638e-05,1,4.8648646e-05,0.00850000046,4.8648646e-05,4.99999987e-06
0.02,0,0,0,0.000437379,2446.62012,5.75267993e-11,1,4.99999987e-05,0.00850000046,4.99999987e-05,4.99999987e-06
