Time,"U:0","U:1","U:2","c","gammadot","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.009,0,0,0,0.000385627005,2759.28003,-4.17089502e-10,1,0,0.00850000046,0,4.99999987e-06
0.009,0.00344545278,-3.11414647e-06,0,0.024021171,2113.84863,-7.88081088e-05,1,1.35135133e-06,0.00850000046,1.35135133e-06,4.99999987e-06
0.009,0.00569871115,-1.06261459e-05,0,0.142340317,1250.74341,-0.000294954836,1,2.70270266e-06,0.00850000046,2.70270266e-06,4.99999987e-06
0.009,0.00679534627,6.84807304e-08,0,0.240757376,696.753113,-0.000497091212,1,4.05405399e-06,0.00850000046,4.05405399e-06,4.99999987e-06
0.009,0.00755207986,2.87606395e-06,0,0.256841123,528.008423,-0.000550769211,1,5.40540532e-06,0.00850000046,5.40540532e-06,4.99999987e-06
0.009,0.00821519829,1.01194905e-06,0,0.257728696,479.373383,-0.000509574893,1,6.75675665e-06,0.00850000046,6.75675665e-06,4.99999987e-06
0.009,0.00884589832,1.67748809e-07,0,0.251127243,460.051849,-0.000450287771,1,8.10810798e-06,0.00850000046,8.10810798e-06,4.99999987e-06
0.009,0.00945797842,-7.54414344e-08,0,0.245454177,445.885834,-0.000395744573,1,9.45945885e-06,0.00850000046,9.45945885e-06,4.99999987e-06
0.009,0.0100506404,1.17949661e-07,0,0.237117261,429.872467,-0.000347353256,1,1.08108106e-05,0.00850000046,1.08108106e-05,4.99999987e-06
0.009,0.0106194252,-9.89244597e-08,0,0.231354564,407.770905,-0.000305694586,1,1.21621615e-05,0.00850000046,1.21621615e-05,4.99999987e-06
0.009,0.0111524295,-3.30912506e-08,0,0.226420119,378.395386,-0.000270696502,1,1.35135133e-05,0.00850000046,1.35135133e-05,4.99999987e-06
0.009,0.0116416728,-3.58001593e-08,0,0.222587466,343.445709,-0.000240008012,1,1.48648642e-05,0.00850000046,1.48648642e-05,4.99999987e-06
0.009,0.012080173,-3.1729833e-08,0,0.21982111,304.016937,-0.000212430052,1,1.6216216e-05,0.00850000046,1.6216216e-05,4.99999987e-06
0.009,0.0124628106,-6.97508717e-09,0,0.217633709,261.21524,-0.000187078127,1,1.75675668e-05,0.00850000046,1.75675668e-05,4.99999987e-06
0.009,0.0127857318,2.04285788e-09,0,0.216368884,215.742172,-0.000163462566,1,1.89189177e-05,0.00850000046,1.89189177e-05,4.99999987e-06
0.009,0.0130455298,1.85243341e-08,0,0.216225475,167.973267,-0.000141512821,1,2.02702704e-05,0.00850000046,2.02702704e-05,4.99999987e-06
0.009,0.013239366,6.90966004e-08,0,0.218578324,118.56501,-0.000121472302,1,2.16216213e-05,0.00850000046,2.16216213e-05,4.99999987e-06
0.009,0.0133656962,1.46447434e-07,0,0.225200146,69.4047241,-0.000104543717,1,2.29729721e-05,0.00850000046,2.29729721e-05,4.99999987e-06
0.009,0.013426722,9.04054218e-08,0,0.232398838,34.155117,-9.41230683e-05,1,2.4324323e-05,0.00850000046,2.4324323e-05,4.99999987e-06
0.009,0.013426722,-9.0405301e-08,0,0.232398838,34.1551018,-9.4123061e-05,1,2.56756757e-05,0.00850000046,2.56756757e-05,4.99999987e-06
