Time,"U:0","U:1","U:2","c","gammadot","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1e-06,0,0,0,0.207485005,14400,-1.09102993e-09,1,0,0.00850000046,0,4.99999987e-06
1e-06,0.0048530479,0.000262044952,0,0.20985955,3891.89209,0.00101187662,1,1.35135133e-06,0.00850000046,1.35135133e-06,4.99999987e-06
1e-06,0.00766708609,0.000125594568,0,0.211185038,194.594788,0.00255684229,1,2.70270266e-06,0.00850000046,2.70270266e-06,4.99999987e-06
1e-06,0.00923953764,4.26461957e-05,0,0.210169926,0,0.00336850574,1,4.05405399e-06,0.00850000046,4.05405399e-06,4.99999987e-06
1e-06,0.0100649316,1.70401345e-05,0,0.210007995,0,0.00371520035,1,5.40540532e-06,0.00850000046,5.40540532e-06,4.99999987e-06
1e-06,0.0104801785,6.84921133e-06,0,0.209999993,0,0.00386048388,1,6.75675665e-06,0.00850000046,6.75675665e-06,4.99999987e-06
1e-06,0.0106835328,2.71894487e-06,0,0.209999993,0,0.00392099982,1,8.10810798e-06,0.00850000046,8.10810798e-06,4.99999987e-06
1e-06,0.0107811708,1.07798394e-06,0,0.209999993,0,0.00394611852,1,9.45945885e-06,0.00850000046,9.45945885e-06,4.99999987e-06
1e-06,0.0108273141,4.25497831e-07,0,0.209999993,0,0.00395653164,1,1.08108106e-05,0.00850000046,1.08108106e-05,4.99999987e-06
1e-06,0.0108488556,1.67648651e-07,0,0.209999993,0,0.0039608432,1,1.21621615e-05,0.00850000046,1.21621615e-05,4.99999987e-06
1e-06,0.0108588282,6.75006717e-08,0,0.209999993,0,0.00396262668,1,1.35135133e-05,0.00850000046,1.35135133e-05,4.99999987e-06
1e-06,0.0108634094,2.98697636e-08,0,0.209999993,0,0.00396335451,1,1.48648642e-05,0.00850000046,1.48648642e-05,4.99999987e-06
1e-06,0.0108654639,1.49928869e-08,0,0.209999993,0,0.00396364182,1,1.6216216e-05,0.00850000046,1.6216216e-05,4.99999987e-06
1e-06,0.0108664036,7.7608302e-09,0,0.209999993,0,0.00396375358,1,1.75675668e-05,0.00850000046,1.75675668e-05,4.99999987e-06
1e-06,0.0108668357,3.88166788e-09,0,0.209999993,0,0.00396379875,1,1.89189177e-05,0.00850000046,1.89189177e-05,4.99999987e-06
1e-06,0.0108670089,1.88786875e-09,0,0.209999993,0,0.00396381924,1,2.02702704e-05,0.00850000046,2.02702704e-05,4.99999987e-06
1e-06,0.0108670788,8.8704849e-10,0,0.209999993,0,0.00396383088,1,2.16216213e-05,0.00850000046,2.16216213e-05,4.99999987e-06
1e-06,0.0108671272,3.84360821e-10,0,0.209999993,0,0.00396383787,1,2.29729721e-05,0.00850000046,2.29729721e-05,4.99999987e-06
1e-06,0.0108671756,1.06809034e-10,0,0.209999993,0,0.00396384019,1,2.4324323e-05,0.00850000046,2.4324323e-05,4.99999987e-06
1e-06,0.0108671756,-1.06809152e-10,0,0.209999993,0,0.00396384019,1,2.56756757e-05,0.00850000046,2.56756757e-05,4.99999987e-06
1e-06,0.0108671272,-3.84360571e-10,0,0.209999993,0,0.00396383787,1,2.70270266e-05,0.00850000046,2.70270266e-05,4.99999987e-06
1e-06,0.0108670788,-8.87047824e-10,0,0.209999993,0,0.00396383088,1,2.83783775e-05,0.00850000046,2.83783775e-05,4.99999987e-06
1e-06,0.0108670089,-1.88786786e-09,0,0.209999993,0,0.00396381924,1,2.97297283e-05,0.00850000046,2.97297283e-05,4.99999987e-06
1e-06,0.0108668357,-3.88166255e-09,0,0.209999993,0,0.00396379875,1,3.10810792e-05,0.00850000046,3.10810792e-05,4.99999987e-06
1e-06,0.0108664036,-7.7608231e-09,0,0.209999993,0,0.00396375358,1,3.24324319e-05,0.00850000046,3.24324319e-05,4.99999987e-06
1e-06,0.0108654639,-1.49928869e-08,0,0.209999993,0,0.00396364182,1,3.37837846e-05,0.00850000046,3.37837846e-05,4.99999987e-06
1e-06,0.0108634094,-2.98697067e-08,0,0.209999993,0,0.00396335451,1,3.51351337e-05,0.00850000046,3.51351337e-05,4.99999987e-06
1e-06,0.0108588282,-6.75005793e-08,0,0.209999993,0,0.00396262668,1,3.64864864e-05,0.00850000046,3.64864864e-05,4.99999987e-06
1e-06,0.0108488556,-1.67648111e-07,0,0.209999993,0,0.0039608432,1,3.78378354e-05,0.00850000046,3.78378354e-05,4.99999987e-06
1e-06,0.0108273141,-4.25497831e-07,0,0.209999993,0,0.00395653164,1,3.91891881e-05,0.00850000046,3.91891881e-05,4.99999987e-06
1e-06,0.0107811708,-1.07798473e-06,0,0.209999993,0,0.00394611852,1,4.05405408e-05,0.00850000046,4.05405408e-05,4.99999987e-06
1e-06,0.0106835328,-2.7189401e-06,0,0.209999993,0,0.00392099982,1,4.18918899e-05,0.00850000046,4.18918899e-05,4.99999987e-06
1e-06,0.0104801785,-6.84920496e-06,0,0.209999993,0,0.00386048388,1,4.32432425e-05,0.00850000046,4.32432425e-05,4.99999987e-06
1e-06,0.0100649316,-1.70401327e-05,0,0.210007995,0,0.00371520035,1,4.45945952e-05,0.00850000046,4.45945952e-05,4.99999987e-06
1e-06,0.00923954044,-4.26460319e-05,0,0.210169926,0,0.00336850714,1,4.59459443e-05,0.00850000046,4.59459443e-05,4.99999987e-06
1e-06,0.00766708935,-0.000125594393,0,0.211185038,194.590515,0.00255684415,1,4.7297297e-05,0.00850000046,4.7297297e-05,4.99999987e-06
1e-06,0.00485305116,-0.000262045127,0,0.20985955,3891.88501,0.00101187732,1,4.8648646e-05,0.00850000046,4.8648646e-05,4.99999987e-06
1e-06,0,0,0,0.207485005,14400,-1.0882395e-09,1,4.99999987e-05,0.00850000046,4.99999987e-05,4.99999987e-06
