Time,"U:0","U:1","U:2","c","gammadot","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.006,0,0,0,3.96137984e-05,2910.5,-2.43947501e-10,1,0,0.00850000046,0,4.99999987e-06
0.006,0.0034856319,-6.75705405e-06,0,0.0409180447,2063.47852,-0.000111171532,1,1.35135133e-06,0.00850000046,1.35135133e-06,4.99999987e-06
0.006,0.00555392448,-1.37143925e-05,0,0.177024618,1120.76538,-0.000403510872,1,2.70270266e-06,0.00850000046,2.70270266e-06,4.99999987e-06
0.006,0.00647790218,3.38685209e-06,0,0.259884387,623.971252,-0.000610002084,1,4.05405399e-06,0.00850000046,4.05405399e-06,4.99999987e-06
0.006,0.0072104712,4.2785e-06,0,0.255068481,537.830261,-0.000588474097,1,5.40540532e-06,0.00850000046,5.40540532e-06,4.99999987e-06
0.006,0.00792799518,-3.37886348e-07,0,0.252925128,524.038879,-0.000505216361,1,6.75675665e-06,0.00850000046,6.75675665e-06,4.99999987e-06
0.006,0.00862667803,8.44181614e-08,0,0.243658662,513.176025,-0.000439595344,1,8.10810798e-06,0.00850000046,8.10810798e-06,4.99999987e-06
0.006,0.00931442529,-1.48224487e-07,0,0.236543939,500.470245,-0.000385476073,1,9.45945885e-06,0.00850000046,9.45945885e-06,4.99999987e-06
0.006,0.00997917168,1.78587918e-08,0,0.229759559,479.813995,-0.000341042498,1,1.08108106e-05,0.00850000046,1.08108106e-05,4.99999987e-06
0.006,0.01061083,-7.01638641e-08,0,0.224605247,450.902374,-0.0003034572,1,1.21621615e-05,0.00850000046,1.21621615e-05,4.99999987e-06
0.006,0.011197364,-7.82773029e-08,0,0.221304312,414.496521,-0.000271474593,1,1.35135133e-05,0.00850000046,1.35135133e-05,4.99999987e-06
0.006,0.0117304418,-2.16064411e-08,0,0.218460202,373.04425,-0.000242942784,1,1.48648642e-05,0.00850000046,1.48648642e-05,4.99999987e-06
0.006,0.0122049181,-2.70478466e-08,0,0.216550291,328.130676,-0.000216532047,1,1.6216216e-05,0.00850000046,1.6216216e-05,4.99999987e-06
0.006,0.0126166809,-6.67860744e-09,0,0.215018824,280.64444,-0.000191630301,1,1.75675668e-05,0.00850000046,1.75675668e-05,4.99999987e-06
0.006,0.0129628964,4.64501948e-09,0,0.214046001,231.208832,-0.000167846752,1,1.89189177e-05,0.00850000046,1.89189177e-05,4.99999987e-06
0.006,0.0132411476,1.58352975e-08,0,0.213857904,180.037582,-0.00014513974,1,2.02702704e-05,0.00850000046,2.02702704e-05,4.99999987e-06
0.006,0.0134491529,8.44425969e-08,0,0.215560779,127.50676,-0.000123742837,1,2.16216213e-05,0.00850000046,2.16216213e-05,4.99999987e-06
0.006,0.0135855097,1.86903563e-07,0,0.22066851,75.1054916,-0.000105029438,1,2.29729721e-05,0.00850000046,2.29729721e-05,4.99999987e-06
0.006,0.0136519372,1.14810305e-07,0,0.226289183,37.2676239,-9.32190451e-05,1,2.4324323e-05,0.00850000046,2.4324323e-05,4.99999987e-06
0.006,0.0136519372,-1.14810156e-07,0,0.226289183,37.2676048,-9.32190451e-05,1,2.56756757e-05,0.00850000046,2.56756757e-05,4.99999987e-06
0.006,0.0135855097,-1.86903705e-07,0,0.220668525,75.105423,-0.000105029416,1,2.70270266e-05,0.00850000046,2.70270266e-05,4.99999987e-06
0.006,0.0134491529,-8.44427319e-08,0,0.215560794,127.506691,-0.000123742808,1,2.83783775e-05,0.00850000046,2.83783775e-05,4.99999987e-06
0.006,0.0132411476,-1.58353171e-08,0,0.213857904,180.037552,-0.000145139726,1,2.97297283e-05,0.00850000046,2.97297283e-05,4.99999987e-06
0.006,0.0129628964,-4.64500349e-09,0,0.214046001,231.20874,-0.000167846709,1,3.10810792e-05,0.00850000046,3.10810792e-05,4.99999987e-06
0.006,0.0126166809,6.67854438e-09,0,0.215018824,280.644379,-0.000191630257,1,3.24324319e-05,0.00850000046,3.24324319e-05,4.99999987e-06
0.006,0.0122049181,2.70478466e-08,0,0.216550291,328.130676,-0.000216532047,1,3.37837846e-05,0.00850000046,3.37837846e-05,4.99999987e-06
0.006,0.0117304428,2.16063185e-08,0,0.218460187,373.044128,-0.000242942726,1,3.51351337e-05,0.00850000046,3.51351337e-05,4.99999987e-06
0.006,0.011197364,7.82772247e-08,0,0.221304297,414.49649,-0.000271474564,1,3.64864864e-05,0.00850000046,3.64864864e-05,4.99999987e-06
0.006,0.0106108319,7.01644609e-08,0,0.224605232,450.902283,-0.000303457113,1,3.78378354e-05,0.00850000046,3.78378354e-05,4.99999987e-06
0.006,0.00997917168,-1.78587918e-08,0,0.229759559,479.813995,-0.000341042498,1,3.91891881e-05,0.00850000046,3.91891881e-05,4.99999987e-06
0.006,0.00931442529,1.48224188e-07,0,0.236543953,500.470276,-0.000385476102,1,4.05405408e-05,0.00850000046,4.05405408e-05,4.99999987e-06
0.006,0.00862667896,-8.44200017e-08,0,0.243658647,513.175964,-0.000439595256,1,4.18918899e-05,0.00850000046,4.18918899e-05,4.99999987e-06
0.006,0.00792799611,3.37890015e-07,0,0.252925128,524.038879,-0.000505216303,1,4.32432425e-05,0.00850000046,4.32432425e-05,4.99999987e-06
0.006,0.0072104712,-4.2785e-06,0,0.255068451,537.830261,-0.000588474097,1,4.45945952e-05,0.00850000046,4.45945952e-05,4.99999987e-06
0.006,0.00647790404,-3.38688983e-06,0,0.259884536,623.970276,-0.000610002491,1,4.59459443e-05,0.00850000046,4.59459443e-05,4.99999987e-06
0.006,0.00555392681,1.37144007e-05,0,0.177024782,1120.76416,-0.000403511222,1,4.7297297e-05,0.00850000046,4.7297297e-05,4.99999987e-06
0.006,0.00348563422,6.7570586e-06,0,0.0409180745,2063.47778,-0.000111171605,1,4.8648646e-05,0.00850000046,4.8648646e-05,4.99999987e-06
0.006,0,0,0,3.96137984e-05,2910.5,-2.43990994e-10,1,4.99999987e-05,0.00850000046,4.99999987e-05,4.99999987e-06
