Time,"U:0","U:1","U:2","c","gammadot","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.007,0,0,0,0.000201314004,2855.38989,-3.99387995e-10,1,0,0.00850000046,0,4.99999987e-06
0.007,0.00347991544,-5.51301036e-06,0,0.0340684541,2086.16724,-9.97498719e-05,1,1.35135133e-06,0.00850000046,1.35135133e-06,4.99999987e-06
0.007,0.00561887724,-1.27427948e-05,0,0.164457023,1167.51257,-0.000365024258,1,2.70270266e-06,0.00850000046,2.70270266e-06,4.99999987e-06
0.007,0.0066007101,2.29265561e-06,0,0.253181994,648.085205,-0.000571401732,1,4.05405399e-06,0.00850000046,4.05405399e-06,4.99999987e-06
0.007,0.00734042516,3.702698e-06,0,0.256070673,532.156921,-0.00057929504,1,5.40540532e-06,0.00850000046,5.40540532e-06,4.99999987e-06
0.007,0.00803424511,2.17591904e-07,0,0.25541696,505.184631,-0.000511624676,1,6.75675665e-06,0.00850000046,6.75675665e-06,4.99999987e-06
0.007,0.00870500132,1.69886761e-07,0,0.246582791,492.084778,-0.000446698396,1,8.10810798e-06,0.00850000046,8.10810798e-06,4.99999987e-06
0.007,0.00936367363,-1.51614074e-07,0,0.23998782,479.723663,-0.000391178764,1,9.45945885e-06,0.00850000046,9.45945885e-06,4.99999987e-06
0.007,0.0100013884,6.66337243e-08,0,0.232367456,461.364288,-0.000344817032,1,1.08108106e-05,0.00850000046,1.08108106e-05,4.99999987e-06
0.007,0.0106102237,-9.03922341e-08,0,0.226918817,435.317322,-0.000305553607,1,1.21621615e-05,0.00850000046,1.21621615e-05,4.99999987e-06
0.007,0.0111775212,-6.65313706e-08,0,0.223053306,401.552612,-0.000272524136,1,1.35135133e-05,0.00850000046,1.35135133e-05,4.99999987e-06
0.007,0.011694951,-2.55553747e-08,0,0.219831333,362.473267,-0.000243266069,1,1.48648642e-05,0.00850000046,1.48648642e-05,4.99999987e-06
0.007,0.0121566243,-3.06588959e-08,0,0.217638835,319.537292,-0.000216463741,1,1.6216216e-05,0.00850000046,1.6216216e-05,4.99999987e-06
