Time,"U:0","U:1","U:2","c","gammadot","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.05,0,0,0,-0.000125292005,2124.01001,-3.63818503e-10,1,0,0.00850000046,0,4.99999987e-06
0.05,0.00278750411,3.44904333e-06,0,0.000419125805,1978.15649,5.65373171e-07,1,1.35135133e-06,0.00850000046,1.35135133e-06,4.99999987e-06
0.05,0.00534205977,1.63940763e-06,0,0.0144138113,1668.38477,-1.67754752e-05,1,2.70270266e-06,0.00850000046,2.70270266e-06,4.99999987e-06
0.05,0.00729128905,-3.91526828e-06,0,0.0895445496,1165.92761,-8.66496848e-05,1,4.05405399e-06,0.00850000046,4.05405399e-06,4.99999987e-06
0.05,0.0084788166,-3.02216813e-06,0,0.183914676,720.531372,-0.000199194415,1,5.40540532e-06,0.00850000046,5.40540532e-06,4.99999987e-06
0.05,0.00922031142,5.60213209e-07,0,0.229200646,483.392395,-0.00028824131,1,6.75675665e-06,0.00850000046,6.75675665e-06,4.99999987e-06
0.05,0.00977561716,9.0440966e-07,0,0.246112809,377.6203,-0.000321790751,1,8.10810798e-06,0.00850000046,8.10810798e-06,4.99999987e-06
0.05,0.010237542,2.12055184e-07,0,0.255868077,319.498077,-0.000322659209,1,9.45945885e-06,0.00850000046,9.45945885e-06,4.99999987e-06
0.05,0.0106374854,1.12638851e-07,0,0.260001808,279.986633,-0.000309308583,1,1.08108106e-05,0.00850000046,1.08108106e-05,4.99999987e-06
0.05,0.010993205,8.64416734e-08,0,0.260963589,250.43544,-0.000287297822,1,1.21621615e-05,0.00850000046,1.21621615e-05,4.99999987e-06
0.05,0.0113136778,8.67457928e-08,0,0.259535015,225.718765,-0.000260315952,1,1.35135133e-05,0.00850000046,1.35135133e-05,4.99999987e-06
0.05,0.0116027836,4.10088248e-08,0,0.257244021,202.478073,-0.000231620754,1,1.48648642e-05,0.00850000046,1.48648642e-05,4.99999987e-06
0.05,0.0118605793,3.1242589e-08,0,0.254902512,178.693573,-0.000203522824,1,1.6216216e-05,0.00850000046,1.6216216e-05,4.99999987e-06
0.05,0.012085449,2.64331046e-08,0,0.252921224,153.344238,-0.000177261158,1,1.75675668e-05,0.00850000046,1.75675668e-05,4.99999987e-06
0.05,0.0122747645,1.31379636e-08,0,0.252608269,125.946175,-0.000153751986,1,1.89189177e-05,0.00850000046,1.89189177e-05,4.99999987e-06
0.05,0.0124256294,1.72191079e-08,0,0.254434496,96.7292786,-0.000133633323,1,2.02702704e-05,0.00850000046,2.02702704e-05,4.99999987e-06
0.05,0.0125360182,1.06674927e-08,0,0.259993374,66.7711258,-0.000117484815,1,2.16216213e-05,0.00850000046,2.16216213e-05,4.99999987e-06
0.05,0.012605926,8.69455441e-09,0,0.270120412,38.0606384,-0.000105990468,1,2.29729721e-05,0.00850000046,2.29729721e-05,4.99999987e-06
0.05,0.0126387216,7.35496064e-09,0,0.280024529,18.225441,-9.99092517e-05,1,2.4324323e-05,0.00850000046,2.4324323e-05,4.99999987e-06
0.05,0.0126387216,-7.35495087e-09,0,0.280024529,18.2254314,-9.99092517e-05,1,2.56756757e-05,0.00850000046,2.56756757e-05,4.99999987e-06
0.05,0.012605926,-8.69457217e-09,0,0.270120412,38.0606003,-0.000105990453,1,2.70270266e-05,0.00850000046,2.70270266e-05,4.99999987e-06
